Wishlist ID,Plant ID,Seed Lot ID,Scientific name,Image type,Image URL,Author,License,Source URL,Notes,Primary,Sort order
,,SBC-SEED-0033,Coriandrum sativum,botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg?width=1200,Franz Eugen Köhler / Köhler's Medizinal-Pflanzen,Public domain,https://commons.wikimedia.org/wiki/File:Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg,Köhler botanical plate used as primary illustration for coriander seed lot,yes,1
,,SBC-SEED-0034,Coriandrum sativum,botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg?width=1200,Franz Eugen Köhler / Köhler's Medizinal-Pflanzen,Public domain,https://commons.wikimedia.org/wiki/File:Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg,Köhler botanical plate used as primary illustration for coriander seed lot,yes,1
,,SBC-SEED-0035,Melissa officinalis,botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Melissa_officinalis_%28lemon_balm%29.jpg?width=1200,Otto Wilhelm Thomé,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Melissa_officinalis_(lemon_balm).jpg,Thomé 1885 botanical illustration used as primary illustration for lemon balm seed lot,yes,1
,,SBC-SEED-0036,Cedrus atlantica,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/Cedrus_atlantica.jpg?width=1200,Wikimedia Commons contributor,Commons file license,https://commons.wikimedia.org/wiki/File:Cedrus_atlantica.jpg,Wikipedia/Commons tree photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0037,Lophophora williamsii,Wikimedia fallback,https://commons.wikimedia.org/wiki/Special:FilePath/Peyote%20Cactus.jpg?width=900,Unknown,Wikimedia Commons file license,https://commons.wikimedia.org/wiki/File:Peyote_Cactus.jpg,Manual fallback image for Lophophora seed entry,,2
,,SBC-SEED-0038,Lophophora williamsii,Wikimedia fallback,https://commons.wikimedia.org/wiki/Special:FilePath/Peyote%20Cactus.jpg?width=900,Unknown,Wikimedia Commons file license,https://commons.wikimedia.org/wiki/File:Peyote_Cactus.jpg,Manual fallback image for Lophophora seed entry,,2
,,SBC-SEED-0039,Echinopsis pachanoi,Wikimedia fallback,https://commons.wikimedia.org/wiki/Special:FilePath/Starr%20070320-5797%20Echinopsis%20pachanoi.jpg?width=900,Forest & Kim Starr,CC BY 3.0,https://commons.wikimedia.org/wiki/File:Starr_070320-5797_Echinopsis_pachanoi.jpg,Manual fallback image for Echinopsis pachanoi seed entry,,2
,,SBC-SEED-0040,Cannabis sativa 'Bubble Kush',botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Cannabis_sativa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-026.jpg?width=1200,Franz Eugen Köhler / Köhler's Medizinal-Pflanzen,Public domain,https://commons.wikimedia.org/wiki/File:Cannabis_sativa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-026.jpg,Species-level botanical plate used as aesthetic surrogate for modern cultivar,yes,1
,,SBC-SEED-0041,Cannabis sativa 'Amnesia Haze',botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Cannabis_sativa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-026.jpg?width=1200,Franz Eugen Köhler / Köhler's Medizinal-Pflanzen,Public domain,https://commons.wikimedia.org/wiki/File:Cannabis_sativa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-026.jpg,Species-level botanical plate used as aesthetic surrogate for modern cultivar,yes,1
,,SBC-SEED-0042,Cannabis sativa L.,botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Cannabis_sativa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-026.jpg?width=1200,Franz Eugen Köhler / Köhler's Medizinal-Pflanzen,Public domain,https://commons.wikimedia.org/wiki/File:Cannabis_sativa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-026.jpg,Species-level botanical plate used as aesthetic surrogate for modern cultivar Critical Kush,yes,1
,,SBC-SEED-0043,Cannabis sativa L.,botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Cannabis_sativa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-026.jpg?width=1200,Franz Eugen Köhler / Köhler's Medizinal-Pflanzen,Public domain,https://commons.wikimedia.org/wiki/File:Cannabis_sativa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-026.jpg,Species-level botanical plate used as aesthetic surrogate for modern cultivar White Runtz,yes,1
,,SBC-SEED-0044,Cannabis sativa L.,botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Cannabis_sativa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-026.jpg?width=1200,Franz Eugen Köhler / Köhler's Medizinal-Pflanzen,Public domain,https://commons.wikimedia.org/wiki/File:Cannabis_sativa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-026.jpg,Species-level botanical plate used as aesthetic surrogate for modern cultivar Insane OG,yes,1
,,SBC-SEED-0007,Vachellia tortuosa,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/Acacia_tortuosa_br.jpg?width=1200,Wikimedia Commons contributor,Commons file license,https://fr.wikipedia.org/wiki/Vachellia_tortuosa,Wikipedia/Commons plant photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0018,Majidea zanguebarica,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/Starr_070221-4747_Majidea_zanquebarica.jpg?width=1200,Wikimedia Commons contributor,Commons file license,https://fr.wikipedia.org/wiki/Majidea_zanguebarica,Wikipedia/Commons fruit and flower photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0020,Senna polyphylla,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/Senna_polyphylla.jpg?width=1200,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Senna_polyphylla,Wikipedia/Commons plant photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0021,Phyllanthus acidus,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/Phyllanthus_acidus_fruits.jpg?width=1200,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Phyllanthus_acidus,Wikipedia/Commons fruit photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0022,Spondias purpurea,botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Flore_m%C3%A9dicale_des_Antilles%2C_ou%2C_Trait%C3%A9_des_plantes_usuelles_%28Pl._336%29_%287795704628%29.jpg?width=1200,Michel Étienne Descourtilz / Flore médicale des Antilles,Public domain,https://de.wikipedia.org/wiki/Spondias,Historical Antilles botanical illustration used for Spondias purpurea,yes,1
,,SBC-SEED-0025,Jatropha multifida,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/Jatropha_multifida.jpg?width=1200,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Jatropha_multifida,Wikipedia/Commons plant photo used as temporary fallback until a suitable historical plate is selected,yes,1
